index,0
Bio jet kerosene,0
Biodiesels,1
Biogases,2
Biogasoline,3
Charcoal,4
Industrial waste,5
Municipal waste (non-renewable),6
Municipal waste (renewable),7
Non-specified primary biofuels and waste,8
Other liquid biofuels,9
Primary solid biofuels,10
Exports,11
Transformation processes,12
Energy industry own use,13
Industry,14
Transport,15
Residential,16
Commercial and public services,17
Agriculture/forestry,18
Fishing,19
Final consumption not elsewhere specified,20
Non-energy use,21
