MEASURE,Unit,COUNTRY,Country,PRODUCT,Product,FLOW,Flow,TIME,Time,Value,Flag Codes,Flags
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2004,2004,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2005,2005,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2006,2006,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2007,2007,0,,
