"MEASURE","Unit","COUNTRY","Country","PRODUCT","Product","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2001","2001",166644.24,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2002","2002",170418.93,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2003","2003",213068.06,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2004","2004",228572.89,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2005","2005",260881.64,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2006","2006",285588.21,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2007","2007",298040.49,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2008","2008",298588.99,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2009","2009",306348.19,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2010","2010",315098.39,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2011","2011",320403.37,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2012","2012",328192.59,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2013","2013",354283.27,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2014","2014",370383.35,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2015","2015",374487.17,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2016","2016",404205.57,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2017","2017",418590.36,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2018","2018",417975.97,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2019","2019",427313.23,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2020","2020",438341.08,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2000","2000",2258035.72,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2001","2001",2265532.76,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2002","2002",2331588.72,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2003","2003",2610807.22,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2004","2004",2679046.05,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2005","2005",2871695.67,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2006","2006",2979739.48,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2007","2007",3135821.77,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2008","2008",3357473.86,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2009","2009",3412723.47,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2010","2010",3722031.35,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2011","2011",3516983.2,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2012","2012",3858212.49,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2013","2013",3908695.4,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2014","2014",3689315.78,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2015","2015",3864064.88,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2016","2016",3905995.98,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2017","2017",3965358.58,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2018","2018",3986887.48,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2019","2019",4072931.9,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2020","2020",3982099.28,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2000","2000",91538.74,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2001","2001",112081.65,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2002","2002",138565.5,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2003","2003",141545.46,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2004","2004",154982.15,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2005","2005",173666.64,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2006","2006",189692.62,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2007","2007",247938.08,,
"TJ","TJ","EU28","Memo: European Union-28","BIOGASES","Biogases","INDPROD","Production","2008","2008",283182.27,,
