COUNTRY,FLOW,2008_per_million
AUT,ELOUTPUT,570.4157439108935
AUT,HEATOUT,3339.395191347372
AUT,TFC,17965.410661318616
BEL,ELOUTPUT,410.1783234621628
BEL,HEATOUT,94.02448707634827
BEL,TFC,4155.49509167901
BGR,ELOUTPUT,2.135451416411558
BGR,HEATOUT,14.681228487829461
BGR,TFC,4239.408247727312
CYP,ELOUTPUT,15.254948323862552
CYP,HEATOUT,0.0
CYP,TFC,2098.0624944383
CZE,ELOUTPUT,139.98495832858728
CZE,HEATOUT,457.06047695368187
CZE,TFC,8331.693841007002
DEU,ELOUTPUT,402.43528149771885
DEU,HEATOUT,703.7015191931877
DEU,TFC,7282.055819517543
DNK,ELOUTPUT,727.6341759971083
DNK,HEATOUT,9302.932289212906
DNK,TFC,9225.812922593495
ESP,ELOUTPUT,87.79299225766715
ESP,HEATOUT,0.0
ESP,TFC,3898.4442329322715
EST,ELOUTPUT,26.92414123207862
EST,HEATOUT,2481.5083502232465
EST,TFC,16768.65244673134
EU28,ELOUTPUT,228.22884355578705
EU28,HEATOUT,813.4114302994658
EU28,TFC,6478.0261973377765
FIN,ELOUTPUT,1990.0636090125377
FIN,HEATOUT,10848.801463771395
FIN,TFC,37874.0856980787
FRA,ELOUTPUT,91.8245524539297
FRA,HEATOUT,538.4218314222217
FRA,TFC,6692.768644196527
GBR,ELOUTPUT,183.84513969804368
GBR,HEATOUT,20.0246597700315
GBR,TFC,1429.020539219121
GRC,ELOUTPUT,18.95676584575746
GRC,HEATOUT,0.0
GRC,TFC,3822.8106943962625
HRV,ELOUTPUT,4.871390647486687
HRV,HEATOUT,0.0
HRV,TFC,10939.286860885146
HUN,ELOUTPUT,204.4194040636426
HUN,HEATOUT,193.36162928242217
HUN,TFC,5162.964493784036
IRL,ELOUTPUT,46.57340911067162
IRL,HEATOUT,0.0
IRL,TFC,2152.2933867252905
ITA,ELOUTPUT,130.29790384585866
ITA,HEATOUT,183.4540089112207
ITA,TFC,6231.078591428833
LTU,ELOUTPUT,21.574406375518492
LTU,HEATOUT,2152.750549209345
LTU,TFC,9935.984265066285
LUX,ELOUTPUT,223.54173871936183
LUX,HEATOUT,133.39895671108184
LUX,TFC,9552.65437012813
LVA,ELOUTPUT,20.208292380922636
LVA,HEATOUT,1944.1295829192163
LVA,TFC,18093.193341918795
MLT,ELOUTPUT,0.0
MLT,HEATOUT,0.0
MLT,TFC,0.0
NLD,ELOUTPUT,401.05888569519243
NLD,HEATOUT,601.2554125452476
NLD,TFC,2617.1545076826064
POL,ELOUTPUT,95.44571008394422
POL,HEATOUT,141.38453316173045
POL,TFC,5007.259304769565
PRT,ELOUTPUT,202.97064540592567
PRT,HEATOUT,0.0
PRT,TFC,10834.652610957364
ROU,ELOUTPUT,1.1685742342625187
ROU,HEATOUT,37.92997202043759
ROU,TFC,8011.28141565757
SVK,ELOUTPUT,98.94632337655901
SVK,HEATOUT,466.2498714622528
SVK,TFC,3445.040958229486
SVN,ELOUTPUT,144.36656450589803
SVN,HEATOUT,256.5967362279489
SVN,TFC,9102.311892096872
SWE,ELOUTPUT,1217.5097094365624
SWE,HEATOUT,13608.016539476219
SWE,TFC,23913.47426943723
