,share,sector,year,,,,,,,,,,,,
122,0.14741721,transport,2050,,,,,,,,,,,,
123,0.101524244,transport,2050,,,,,,,,,,,,
124,0.118708144,transport,2050,,,,,,,,,,,,
125,0.002082987,transport,2050,,,,,,,,,,,,
126,0.003712294,transport,2050,,,,,,,,,,,,
127,0.00350612,transport,2050,,,,,,,,,,,,
128,0.002414617,transport,2050,,,,,,,,,,,,
129,0.002823313,transport,2050,,,,,,,,,,,,
130,0.035152311,transport,2050,,,,,,,,,,,,
131,0.062648378,transport,2050,,,,,,,,,,,,
132,0.059168988,transport,2050,,,,,,,,,,,,
133,0.040748884,transport,2050,,,,,,,,,,,,
134,0.047646002,transport,2050,,,,,,,,,,,,
135,0.061748863,transport,2050,,,,,,,,,,,,
136,0.110048698,transport,2050,,,,,,,,,,,,
137,0.103936771,transport,2050,,,,,,,,,,,,
138,0.071579852,transport,2050,,,,,,,,,,,,
139,0.083695392,transport,2050,,,,,,,,,,,,
140,0.070272308,transport,2050,,,,,,,,,,,,
141,0.145215882,transport,2050,,,,,,,,,,,,
142,0.110050655,transport,2050,,,,,,,,,,,,
143,0.100206135,transport,2050,,,,,,,,,,,,
144,0.083199385,transport,2050,,,,,,,,,,,,
145,0.093859645,transport,2050,,,,,,,,,,,,
146,0.041166701,transport,2050,,,,,,,,,,,,
147,0.085069909,transport,2050,,,,,,,,,,,,
148,0.064469527,transport,2050,,,,,,,,,,,,
149,0.058702441,transport,2050,,,,,,,,,,,,
150,0.048739601,transport,2050,,,,,,,,,,,,
151,0.05498456,transport,2050,,,,,,,,,,,,
152,0.001563458,transport,2050,,,,,,,,,,,,
153,0.003230846,transport,2050,,,,,,,,,,,,
154,0.00244847,transport,2050,,,,,,,,,,,,
155,0.002229443,transport,2050,,,,,,,,,,,,
156,0.001851067,transport,2050,,,,,,,,,,,,
157,0.002088243,transport,2050,,,,,,,,,,,,
158,0.029317702,transport,2050,,,,,,,,,,,,
159,0.060584262,transport,2050,,,,,,,,,,,,
160,0.045913282,transport,2050,,,,,,,,,,,,
161,0.041806135,transport,2050,,,,,,,,,,,,
162,0.034710896,transport,2050,,,,,,,,,,,,
163,0.039158371,transport,2050,,,,,,,,,,,,
164,0.034146692,transport,2050,,,,,,,,,,,,
165,0.070563244,transport,2050,,,,,,,,,,,,
166,0.053475771,transport,2050,,,,,,,,,,,,
167,0.048692126,transport,2050,,,,,,,,,,,,
168,0.040428213,transport,2050,,,,,,,,,,,,
169,0.045608242,transport,2050,,,,,,,,,,,,
170,0.047650855,transport,2050,,,,,,,,,,,,
171,0.081103761,transport,2050,,,,,,,,,,,,
172,0.063477142,transport,2050,,,,,,,,,,,,
173,0.065080491,transport,2050,,,,,,,,,,,,
174,0.054175258,transport,2050,,,,,,,,,,,,
175,0.110136827,transport,2050,,,,,,,,,,,,
176,0.062433922,transport,2050,,,,,,,,,,,,
177,0.106265164,transport,2050,,,,,,,,,,,,
178,0.083170111,transport,2050,,,,,,,,,,,,
179,0.085270879,transport,2050,,,,,,,,,,,,
180,0.070982438,transport,2050,,,,,,,,,,,,
181,0.144305367,transport,2050,,,,,,,,,,,,
182,0.012706868,transport,2050,,,,,,,,,,,,
183,0.021627624,transport,2050,,,,,,,,,,,,
184,0.016927202,transport,2050,,,,,,,,,,,,
185,0.017354761,transport,2050,,,,,,,,,,,,
186,0.014446705,transport,2050,,,,,,,,,,,,
187,0.029369759,transport,2050,,,,,,,,,,,,
188,0.012508617,transport,2050,,,,,,,,,,,,
189,0.021290192,transport,2050,,,,,,,,,,,,
190,0.016663105,transport,2050,,,,,,,,,,,,
191,0.017083994,transport,2050,,,,,,,,,,,,
192,0.014221309,transport,2050,,,,,,,,,,,,
193,0.028911534,transport,2050,,,,,,,,,,,,
194,0.00955183,transport,2050,,,,,,,,,,,,
195,0.016257616,transport,2050,,,,,,,,,,,,
196,0.01272428,transport,2050,,,,,,,,,,,,
